Player,Date,Mins,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,TOV,PF,+/-,PTS,DD,TD,FDP,DKP
2544,2021-10-19,36.7,13.0,23.0,5.0,11.0,3.0,6.0,1.0,10.0,11.0,5.0,1.0,1.0,4.0,5.0,-2.0,34.0,1,0,56.7,61.3
2544,2021-10-22,36.5,8.0,18.0,5.0,9.0,4.0,4.0,0.0,2.0,2.0,5.0,2.0,0.0,5.0,4.0,-6.0,25.0,0,0,35.9,39.0
2544,2021-10-24,40.3,7.0,19.0,4.0,9.0,1.0,2.0,0.0,6.0,6.0,6.0,2.0,2.0,3.0,1.0,-1.0,19.0,0,0,44.2,44.0
2544,2021-10-29,38.0,10.0,22.0,1.0,10.0,5.0,5.0,1.0,2.0,3.0,8.0,3.0,1.0,7.0,1.0,9.0,26.0,0,0,46.6,46.8
2544,2021-10-31,34.5,6.0,19.0,0.0,6.0,3.0,4.0,1.0,6.0,7.0,8.0,4.0,1.0,2.0,0.0,7.0,15.0,0,0,48.4,44.8
2544,2021-11-02,36.3,13.0,21.0,2.0,4.0,2.0,2.0,0.0,4.0,4.0,10.0,2.0,0.0,4.0,3.0,8.0,30.0,1,0,51.8,54.5
2544,2021-11-19,32.1,10.0,16.0,3.0,7.0,0.0,1.0,1.0,5.0,6.0,2.0,2.0,0.0,3.0,3.0,-4.0,23.0,0,0,36.2,37.5
2544,2021-11-21,21.4,4.0,7.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,-15.0,10.0,0,0,16.7,18.3
2544,2021-11-24,43.5,13.0,29.0,5.0,12.0,8.0,9.0,0.0,5.0,5.0,6.0,1.0,2.0,2.0,2.0,-3.0,39.0,0,0,61.0,61.8
2544,2021-11-26,49.8,10.0,25.0,2.0,13.0,8.0,11.0,1.0,6.0,7.0,11.0,1.0,0.0,7.0,4.0,-7.0,30.0,1,0,50.9,56.3
2544,2021-11-28,37.4,12.0,20.0,4.0,9.0,5.0,8.0,0.0,5.0,5.0,9.0,2.0,1.0,2.0,1.0,14.0,33.0,0,0,59.5,59.8
2544,2021-12-03,36.3,9.0,23.0,2.0,8.0,3.0,5.0,3.0,8.0,11.0,6.0,2.0,0.0,3.0,2.0,-5.0,23.0,1,0,48.2,50.8
2544,2021-12-07,36.3,13.0,19.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,5.0,0.0,0.0,3.0,2.0,18.0,30.0,0,0,39.3,42.0
2544,2021-12-09,37.4,7.0,15.0,1.0,6.0,5.0,5.0,0.0,10.0,10.0,11.0,4.0,2.0,5.0,1.0,2.0,20.0,1,1,61.5,62.0
2544,2021-12-10,34.7,13.0,20.0,4.0,6.0,3.0,4.0,0.0,5.0,5.0,6.0,3.0,2.0,2.0,2.0,19.0,33.0,0,0,61.0,59.3
2544,2021-12-12,37.2,12.0,20.0,3.0,7.0,3.0,4.0,1.0,10.0,11.0,10.0,0.0,3.0,6.0,2.0,14.0,30.0,1,1,61.2,66.3
2544,2021-12-15,43.0,9.0,19.0,4.0,9.0,2.0,3.0,0.0,3.0,3.0,5.0,1.0,0.0,2.0,1.0,-6.0,24.0,0,0,36.1,38.3
2544,2021-12-17,35.5,5.0,13.0,2.0,6.0,6.0,8.0,1.0,9.0,10.0,5.0,1.0,2.0,4.0,5.0,-11.0,18.0,1,0,42.5,44.5
2544,2021-12-19,39.4,11.0,21.0,1.0,7.0,8.0,11.0,1.0,13.0,14.0,6.0,1.0,2.0,4.0,5.0,-1.0,31.0,1,0,61.8,63.5
2544,2021-12-21,34.0,13.0,19.0,2.0,5.0,6.0,6.0,0.0,7.0,7.0,2.0,2.0,0.0,2.0,1.0,0.0,34.0,0,0,49.4,49.8
2544,2021-12-23,34.7,15.0,26.0,2.0,7.0,4.0,6.0,2.0,7.0,9.0,6.0,1.0,2.0,3.0,2.0,-23.0,36.0,0,0,61.8,61.8
2544,2021-12-25,39.9,14.0,25.0,3.0,9.0,8.0,9.0,1.0,8.0,9.0,7.0,3.0,1.0,3.0,2.0,9.0,39.0,0,0,69.3,68.8
2544,2021-12-28,39.5,11.0,19.0,3.0,5.0,7.0,9.0,4.0,6.0,10.0,11.0,1.0,2.0,3.0,3.0,6.0,32.0,1,1,66.5,70.0
2544,2021-12-29,38.0,13.0,25.0,8.0,14.0,3.0,3.0,2.0,11.0,13.0,7.0,2.0,2.0,5.0,1.0,0.0,37.0,1,0,70.1,74.8
2544,2021-12-31,29.3,16.0,26.0,5.0,10.0,6.0,9.0,2.0,12.0,14.0,4.0,2.0,2.0,0.0,1.0,18.0,43.0,1,0,77.8,78.5
2544,2022-01-02,39.2,7.0,15.0,3.0,9.0,9.0,12.0,0.0,7.0,7.0,5.0,3.0,1.0,1.0,2.0,9.0,26.0,0,0,52.9,51.3
2544,2022-01-04,36.5,12.0,26.0,3.0,10.0,4.0,5.0,2.0,3.0,5.0,5.0,0.0,1.0,2.0,3.0,3.0,31.0,0,0,45.5,47.3
2544,2022-01-07,36.5,13.0,24.0,1.0,6.0,5.0,5.0,1.0,7.0,8.0,9.0,4.0,3.0,4.0,4.0,4.0,32.0,0,0,72.1,68.0
2544,2022-01-09,33.4,14.0,19.0,3.0,4.0,4.0,4.0,6.0,3.0,9.0,7.0,0.0,0.0,3.0,4.0,-30.0,35.0,0,0,53.3,56.8
2544,2022-01-12,38.9,13.0,29.0,3.0,12.0,5.0,10.0,1.0,6.0,7.0,6.0,0.0,1.0,1.0,2.0,-12.0,34.0,0,0,53.4,54.8
2544,2022-01-15,30.7,9.0,23.0,2.0,8.0,5.0,7.0,1.0,8.0,9.0,2.0,0.0,2.0,1.0,0.0,-17.0,25.0,0,0,43.8,43.8
2544,2022-01-17,37.3,9.0,20.0,3.0,8.0,4.0,8.0,0.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,11.0,25.0,0,0,48.9,49.3
2544,2022-01-19,37.4,11.0,22.0,3.0,7.0,5.0,7.0,1.0,11.0,12.0,5.0,2.0,0.0,3.0,1.0,-20.0,30.0,1,0,54.9,58.0
2544,2022-01-21,33.6,12.0,23.0,2.0,7.0,3.0,3.0,1.0,6.0,7.0,5.0,1.0,1.0,6.0,3.0,5.0,29.0,0,0,44.9,47.3
2544,2022-01-23,39.9,12.0,22.0,1.0,8.0,8.0,11.0,2.0,9.0,11.0,4.0,2.0,0.0,3.0,4.0,-8.0,33.0,1,0,55.2,57.3
