2018-02-11
RotoG Proj,30 Game 60th Percentile,30 Game 40th Percentile,RotoG Floor,30 Game Average,RotoG Ceil,
2544,11500,56.2,56.4,50.9,42.1,53.7,70.2
201566,12100,52.7,66.8,59.0,42.2,62.9,63.2
201935,11800,51.5,59.1,52.4,38.6,55.7,64.4
203083,11200,51.4,37.9,32.7,36.5,35.3,66.3
1626157,9300,43.5,52.0,46.7,31.7,49.4,55.2
202710,10400,43.3,48.8,43.3,32.1,46.1,54.6
203081,9200,42.4,47.7,42.5,33.1,45.1,51.8
201933,9200,42.2,42.7,36.9,32.9,39.8,51.5
203506,9700,42.0,30.0,25.3,30.2,27.6,53.7
101108,9600,41.5,42.8,37.5,29.5,40.2,53.6
202681,8000,40.7,43.8,38.5,32.1,41.2,49.2
201942,8400,40.3,42.2,36.0,28.6,39.1,52.0
202331,9000,39.8,45.0,38.2,27.9,41.6,51.7
201188,8800,39.7,40.4,34.9,29.4,37.6,50.1
202689,8200,39.1,40.7,35.2,28.9,38.0,49.2
2730,8200,37.4,37.0,32.0,23.9,34.5,50.8
203497,7700,36.8,44.7,38.8,24.7,41.8,49.0
203471,7700,35.9,35.8,31.0,26.9,33.4,44.8
203991,8100,35.8,30.7,27.4,25.4,29.1,46.1
201143,7400,35.7,33.6,28.7,27.2,31.1,44.3
1626167,6500,35.6,34.2,29.3,21.7,31.8,49.4
200768,8000,34.0,44.2,38.4,23.4,41.3,44.5
203084,6800,33.3,28.1,24.0,25.6,26.1,40.9
201936,7700,33.0,24.7,19.7,22.7,22.2,43.2
203939,6000,32.9,15.0,9.7,18.1,12.3,47.7
201563,6200,32.5,20.8,14.6,12.7,17.7,52.3
1626161,7100,31.4,31.4,26.3,19.1,28.8,43.6
202397,6100,31.0,28.7,23.8,19.2,26.2,42.8
203468,7000,30.7,35.2,29.9,22.4,32.5,38.9
201937,7700,30.4,40.9,36.2,18.5,38.5,42.2
202683,7000,30.0,25.9,21.6,19.8,23.8,40.2
203145,6400,29.5,25.4,21.0,18.6,23.2,40.4
2216,6500,29.5,28.8,23.7,17.7,26.2,41.2
203994,7100,29.3,34.3,24.7,17.6,29.5,41.0
1627752,4500,28.6,20.2,14.9,15.7,17.6,41.4
203500,6700,28.2,26.4,21.8,20.6,24.1,35.8
201152,5400,27.6,25.5,21.2,18.8,23.3,36.4
1626150,4900,27.5,11.7,8.6,13.2,10.2,41.9
201586,5000,27.4,30.6,25.4,18.1,28.0,36.6
202685,6600,27.3,28.2,23.5,13.9,25.9,40.6
201952,6000,27.1,32.0,28.4,17.9,30.2,36.3
203952,6000,26.7,39.0,34.1,19.2,36.5,34.1
202324,5500,26.6,26.0,21.3,17.0,23.7,36.2
1627759,5500,26.3,17.4,13.7,18.9,15.6,33.7
2546,6000,25.7,36.6,31.8,17.7,34.2,33.6
201587,6200,25.6,34.7,29.6,16.6,32.1,34.6
202362,5600,25.3,17.5,12.6,14.4,15.1,36.2
1626179,6500,25.1,14.8,10.9,13.0,12.8,37.1
201959,5800,24.6,20.5,16.7,16.7,18.6,32.5
203493,4600,24.5,12.4,8.3,10.5,10.3,38.4
1626185,3500,24.3,12.5,8.8,10.0,10.6,38.6
204060,4900,22.9,22.9,19.0,15.6,21.0,30.2
203473,5100,22.7,19.6,14.8,14.1,17.2,31.4
202329,5600,22.6,26.7,22.3,14.5,24.5,30.7
1626153,4400,22.3,16.5,11.8,10.7,14.2,33.9
1626169,6100,21.9,14.0,10.4,11.6,12.2,32.2
202709,4900,21.9,24.9,20.1,12.9,22.5,30.8
201588,4400,21.5,30.7,25.3,11.6,28.0,31.4
203501,6000,21.3,29.6,24.9,11.5,27.2,31.1
203210,4600,21.2,20.8,16.2,12.7,18.5,29.7
1627734,4900,21.2,14.2,10.8,14.9,12.5,27.6
202711,5800,20.9,20.8,16.2,12.1,18.5,29.6
1627812,3900,20.6,23.5,20.5,11.5,22.0,29.6
202684,4700,20.1,25.6,21.9,11.7,23.7,28.6
1627741,4900,19.8,24.3,19.7,10.7,22.0,28.9
203924,5200,19.8,14.0,9.4,11.5,11.7,28.1
201569,5500,19.0,24.5,21.0,12.2,22.7,25.8
101141,4800,18.7,23.4,20.1,10.9,21.8,26.6
203087,4900,18.6,20.7,16.7,11.9,18.7,25.3
1626163,4000,18.6,28.8,23.2,10.0,26.0,27.1
202694,4900,18.4,27.4,21.9,13.1,24.7,23.7
1626144,3700,18.3,22.6,17.0,6.6,19.8,30.0
1627783,4000,18.2,12.3,8.6,10.0,10.4,26.4
101107,4200,17.9,30.4,25.1,10.4,27.7,25.4
203469,3700,17.9,28.4,24.0,12.1,26.2,23.6
101123,4200,17.8,10.4,7.2,10.9,8.8,24.7
203124,4000,17.7,23.7,18.2,9.2,20.9,26.2
201584,5100,17.6,26.3,21.9,11.6,24.1,23.6
202323,3600,17.6,21.7,17.6,9.7,19.7,25.5
1627832,4900,17.5,9.0,5.2,7.7,7.1,27.3
203903,5800,17.4,27.6,23.2,8.9,25.4,25.9
203077,4200,17.2,27.1,22.9,9.1,25.0,25.3
203962,3500,17.1,21.2,17.1,6.0,19.2,28.2
201583,3800,17.1,22.3,17.3,9.4,19.8,24.8
1627751,3900,17.0,11.7,7.8,8.5,9.7,25.6
101127,4000,16.8,9.9,6.6,9.8,8.3,23.9
203090,3700,16.7,23.7,18.5,6.4,21.1,27.1
203382,3900,16.7,17.1,13.1,8.7,15.1,24.8
203918,5100,16.7,21.1,16.5,9.8,18.8,23.5
202334,3800,16.5,15.6,11.6,9.2,13.6,23.7
1626257,3700,16.4,13.2,8.9,6.6,11.0,26.3
202066,4200,16.4,22.1,19.1,8.3,20.6,24.4
200782,3700,16.3,20.7,16.6,9.9,18.6,22.6
201229,4300,15.7,17.7,14.3,7.2,16.0,24.2
201585,4100,15.5,20.2,16.4,6.8,18.3,24.2
201145,3900,15.5,18.3,14.7,7.9,16.5,23.1
1713,3700,15.0,20.0,15.4,3.6,17.7,26.4
203476,3600,14.9,30.7,25.8,7.6,28.3,22.2
203109,3700,14.9,28.8,24.6,8.3,26.7,21.4
2747,4400,14.7,18.0,14.3,8.1,16.2,21.3
202328,3500,14.5,29.9,24.6,7.2,27.2,21.7
2037,3700,14.4,20.5,16.1,8.2,18.3,20.6
201601,4400,14.0,14.0,10.5,7.1,12.2,20.8
1627098,3500,13.8,12.0,8.8,6.6,10.4,20.9
1626204,4200,13.6,26.4,20.7,7.9,23.6,19.3
101139,3700,13.0,18.9,15.0,7.0,16.9,19.0
2403,3700,12.9,24.2,20.9,6.8,22.6,18.9
203926,3500,12.9,13.0,9.3,6.6,11.1,19.2
1626145,3500,12.8,14.4,10.4,3.8,12.4,21.7
203894,3700,12.7,12.1,6.7,4.7,9.4,20.6
203487,3500,12.6,18.6,13.5,6.4,16.0,18.8
202357,3500,12.6,18.8,13.7,4.9,16.3,20.3
204038,3600,12.4,11.5,7.9,4.7,9.7,20.1
2594,3600,12.3,18.7,14.3,5.9,16.5,18.7
203518,3900,11.6,13.1,9.5,3.1,11.3,20.1
101109,4100,10.6,15.0,10.7,6.0,12.8,15.2
203488,3500,10.6,13.8,9.7,5.3,11.8,15.8
203101,3500,10.4,7.6,4.4,5.1,6.0,15.7
203463,3500,10.2,19.3,14.0,3.3,16.6,17.2
203526,3500,10.2,9.2,6.0,2.8,7.6,17.6
202692,3600,10.2,14.5,11.3,3.8,12.9,16.6
1627819,3500,10.0,5.4,3.1,3.8,4.3,16.2
203504,3600,9.9,12.0,7.8,3.7,9.9,16.1
201973,3500,9.4,9.9,7.2,3.7,8.6,15.1
202335,3900,9.2,15.5,12.1,3.9,13.8,14.6
1626203,3600,9.0,5.4,2.8,4.2,4.1,13.7
1626202,3700,7.5,4.3,1.7,1.5,3.0,13.6
202498,3500,7.4,15.9,11.3,3.5,13.6,11.4
2744,3500,7.4,17.0,13.3,3.6,15.1,11.2
101181,4500,6.4,9.0,6.2,1.3,7.6,11.5
1626192,3500,5.6,8.0,4.0,2.2,6.0,9.0
